bid_id,bid_number,item_category,items_count,department,ministry,buyer_name,quantity,bid_value,bid_status,start_date,end_date,bid_link
GEM/2026/B/7559206,GEM/2026/B/7559206,"Catering service (Duration Based) - Veg, Non Veg; Breakfast, Lunch, Dinner, Snack/High Tea Diet as",5,Department of Defence,Ministry of Defence,Department of Defence,500,0.0,Bid Award,2026-05-19T16:14:00,2026-05-23T16:00:00,https://bidplus.gem.gov.in/showbidDocument/9350689
GEM/2026/B/7534893,GEM/2026/B/7534893,Ration Kit,1,Prisons Administration and Reforms Department Uttar Pradesh,,Prisons Administration and Reforms Department Uttar Pradesh,1,0.0,Bid Award,2026-05-13T13:33:00,2026-05-23T16:00:00,https://bidplus.gem.gov.in/showbidDocument/9323666
GEM/2026/B/7485717,GEM/2026/B/7485717,Stationary Valve Regulated Lead Acid Batteries (V3) Conforming To IS 15549,1,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,120,0.0,Bid Award,2026-05-22T14:00:00,2026-05-23T15:00:00,https://bidplus.gem.gov.in/showbidDocument/9269053
GEM/2026/B/7489765,GEM/2026/B/7489765,Stationary Valve Regulated Lead Acid Batteries (V3) Conforming To IS 15549,1,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,38,0.0,Bid Award,2026-05-22T14:00:00,2026-05-23T15:00:00,https://bidplus.gem.gov.in/showbidDocument/9273592
GEM/2026/B/7485949,GEM/2026/B/7485949,Lead Acid Storage Batteries For Motor Vehicles with Light Weight and High Cranking Performance (V2),1,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,32,0.0,Bid Award,2026-05-22T14:00:00,2026-05-23T15:00:00,https://bidplus.gem.gov.in/showbidDocument/9269314
GEM/2026/B/7493915,GEM/2026/B/7493915,Valve Regulated Lead Acid (VRLA) Batteries as per TEC Specification,1,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,10,0.0,Bid Award,2026-05-22T14:00:00,2026-05-23T15:00:00,https://bidplus.gem.gov.in/showbidDocument/9278133
GEM/2026/B/7485924,GEM/2026/B/7485924,Stationary Valve Regulated Lead Acid Batteries (V3) Conforming To IS 15549,1,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,38,0.0,Bid Award,2026-05-22T14:00:00,2026-05-23T15:00:00,https://bidplus.gem.gov.in/showbidDocument/9269287
GEM/2026/B/7535334,GEM/2026/B/7535334,Off - Grid Solar Photovoltaic (PV) Power Plant (V2),1,Department of Panchayati Raj,,Department of Panchayati Raj,1,0.0,Bid Award,2026-05-13T14:37:00,2026-05-23T15:00:00,https://bidplus.gem.gov.in/showbidDocument/9324153
GEM/2026/B/7535122,GEM/2026/B/7535122,LAY SHAFT ASSY (TATRA T-815),1,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,1,0.0,Bid Award,2026-05-13T13:59:00,2026-05-23T14:00:00,https://bidplus.gem.gov.in/showbidDocument/9323923
GEM/2026/B/7534743,GEM/2026/B/7534743,"3120 004922,48870m70a22,2530 017915,2520 70 0468324,4820 72 0000063,4710 72 0531157,4320 004124,336",8,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,25,0.0,Bid Award,2026-05-13T13:12:00,2026-05-23T14:00:00,https://bidplus.gem.gov.in/showbidDocument/9323506
GEM/2026/B/7533654,GEM/2026/B/7533654,"fuel filter,assy cable comp,field coil assy,solenoid switch,hand valve,booster rep kit,hp hose,spee",8,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,21,0.0,Bid Award,2026-05-13T11:26:00,2026-05-23T14:00:00,https://bidplus.gem.gov.in/showbidDocument/9322333
GEM/2026/B/7495732,GEM/2026/B/7495732,"MOBIL OIL 15W 40,GEAR OIL HP 90,GREASE MP,BRAKE OIL DOT 3,BRAKE OIL DOT 4,MOBIL OIL BOLERO MAXIMILE",6,Central Armed Police Forces,Ministry of Home Affairs,Central Armed Police Forces,730,0.0,Bid Award,2026-05-02T12:08:00,2026-05-23T13:00:00,https://bidplus.gem.gov.in/showbidDocument/9280191
GEM/2026/B/7534105,GEM/2026/B/7534105,Handling and Transport on Lumpsum Basis - Safe Loading Carriage and unloading,1,Energy Department Uttar Pradesh,,Energy Department Uttar Pradesh,1,0.0,Bid Award,2026-05-13T12:16:00,2026-05-23T13:00:00,https://bidplus.gem.gov.in/showbidDocument/9322808
GEM/2026/B/7527668,GEM/2026/B/7527668,High mast pole for national flags (V2),1,Rural Development Department Uttar Pradesh,,Rural Development Department Uttar Pradesh,1,0.0,Bid Award,2026-05-13T12:28:00,2026-05-23T13:00:00,https://bidplus.gem.gov.in/showbidDocument/9315824
GEM/2026/B/7527629,GEM/2026/B/7527629,High Mast Lighting Octagonal Tower for Small area with LED Flood Lighting System (V2),1,Rural Development Department Uttar Pradesh,,Rural Development Department Uttar Pradesh,1,0.0,Bid Award,2026-05-13T12:27:00,2026-05-23T13:00:00,https://bidplus.gem.gov.in/showbidDocument/9315781
GEM/2026/B/7562361,GEM/2026/B/7562361,"Catering Service per Packet based - Veg; Breakfast, Lunch, Snacks/High, Tea, Dinner; Buffet(Breakfa",5,Department of Defence,Ministry of Defence,Department of Defence,606,0.0,Bid Award,2026-05-20T11:42:00,2026-05-23T12:00:00,https://bidplus.gem.gov.in/showbidDocument/9354176
GEM/2026/B/7497767,GEM/2026/B/7497767,"Goods Transport Service – Per KM Based Service - Household/Office, Valuable goods requiring High",2,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,21318,0.0,Bid Award,2026-05-22T12:00:00,2026-05-23T12:00:00,https://bidplus.gem.gov.in/showbidDocument/9282485
